---------- 1 ------------
1	1
---------- 2 ------------
1	11
2	2
---------- 3 ------------
1	111
2	12
3	21
---------- 4 ------------
1	1111
2	112
3	121
4	211
5	22
---------- 5 ------------
1	11111
2	1112
3	1121
4	1211
5	122
6	2111
7	212
8	221
---------- 6 ------------
1	111111  1
2	11112   1
3	11121   1   1
4	11211   1   1
5	1122    1
6	12111   1   1
7	1212    1
8	1221    1   1
9	21111   1
10	2112
11	2121    1
12	2211    1
13	222
---------- 7 ------------
1	1111111
2	111112
3	111121
4	111211
5	11122
6	112111
7	11212
8	11221
9	121111
10	12112
11	12121
12	12211
13	1222
14	211111
15	21112
16	21121
17	21211
18	2122
19	22111
20	2212
21	2221
---------- 8 ------------
1	11111111
2	1111112
3	1111121
4	1111211
5	111122
6	1112111
7	111212
8	111221
9	1121111
10	112112
11	112121
12	112211
13	11222
14	1211111
15	121112
16	121121
17	121211
18	12122
19	122111
20	12212
21	12221
22	2111111
23	211112
24	211121
25	211211
26	21122
27	212111
28	21212
29	21221
30	221111
31	22112
32	22121
33	22211
34	2222
---------- 9 ------------
1	111111111
2	11111112
3	11111121
4	11111211
5	1111122
6	11112111
7	1111212
8	1111221
9	11121111
10	1112112
11	1112121
12	1112211
13	111222
14	11211111
15	1121112
16	1121121
17	1121211
18	112122
19	1122111
20	112212
21	112221
22	12111111
23	1211112
24	1211121
25	1211211
26	121122
27	1212111
28	121212
29	121221
30	1221111
31	122112
32	122121
33	122211
34	12222
35	21111111
36	2111112
37	2111121
38	2111211
39	211122
40	2112111
41	211212
42	211221
43	2121111
44	212112
45	212121
46	212211
47	21222
48	2211111
49	221112
50	221121
51	221211
52	22122
53	222111
54	22212
55	22221
---------- 10 ------------
1	1111111111
2	111111112
3	111111121
4	111111211
5	11111122
6	111112111
7	11111212
8	11111221
9	111121111
10	11112112
11	11112121
12	11112211
13	1111222
14	111211111
15	11121112
16	11121121
17	11121211
18	1112122
19	11122111
20	1112212
21	1112221
22	112111111
23	11211112
24	11211121
25	11211211
26	1121122
27	11212111
28	1121212
29	1121221
30	11221111
31	1122112
32	1122121
33	1122211
34	112222
35	121111111
36	12111112
37	12111121
38	12111211
39	1211122
40	12112111
41	1211212
42	1211221
43	12121111
44	1212112
45	1212121
46	1212211
47	121222
48	12211111
49	1221112
50	1221121
51	1221211
52	122122
53	1222111
54	122212
55	122221
56	211111111
57	21111112
58	21111121
59	21111211
60	2111122
61	21112111
62	2111212
63	2111221
64	21121111
65	2112112
66	2112121
67	2112211
68	211222
69	21211111
70	2121112
71	2121121
72	2121211
73	212122
74	2122111
75	212212
76	212221
77	22111111
78	2211112
79	2211121
80	2211211
81	221122
82	2212111
83	221212
84	221221
85	2221111
86	222112
87	222121
88	222211
89	22222
